Date,Price,Open,High,Low,Vol.,Change %
2020-11-21,0.4605,0.329,0.4605,0.329,199.06M,0.3971
2020-11-22,0.4456,0.4605,0.4662,0.4262,295.00M,-0.0324
2020-11-23,0.614,0.4464,0.614,0.4414,205.75M,0.3779
2020-11-24,0.6876,0.5973,0.6916,0.5973,304.52M,0.1199
2020-11-25,0.6306,0.69,0.6905,0.6306,197.11M,-0.0829
2020-11-26,0.5363,0.6297,0.6297,0.4713,404.13M,-0.1495
2020-11-27,0.5621,0.5353,0.5621,0.5325,216.55M,0.0481
2020-11-28,0.6263,0.5626,0.6345,0.5477,224.35M,0.1142
2020-11-29,0.6051,0.6257,0.6257,0.6007,176.75M,-0.0338
2020-11-30,0.6639,0.6063,0.6639,0.6063,202.83M,0.0972
2020-12-01,0.6107,0.6639,0.6729,0.6107,181.15M,-0.0801
2020-12-02,0.6306,0.611,0.6306,0.6083,100.78M,0.0326
2020-12-03,0.6303,0.6291,0.6304,0.6196,59.94M,-0.0005
2020-12-04,0.554,0.6293,0.6293,0.554,105.04M,-0.1211
2020-12-05,0.5856,0.5529,0.5914,0.5529,83.63M,0.057
2020-12-06,0.6213,0.5855,0.6213,0.5855,110.82M,0.061
2020-12-07,0.6081,0.6227,0.6227,0.5995,75.44M,-0.0212
2020-12-08,0.5589,0.6081,0.6099,0.5589,79.87M,-0.0809
2020-12-09,0.5829,0.558,0.5829,0.548,155.28M,0.0429
2020-12-10,0.5718,0.5828,0.5828,0.5667,90.44M,-0.019
2020-12-11,0.556,0.573,0.573,0.5423,125.83M,-0.0276
2020-12-12,0.5055,0.5398,0.5398,0.495,105.20M,-0.0908
2020-12-13,0.5139,0.5064,0.52,0.5003,74.78M,0.0166
2020-12-14,0.4973,0.5135,0.5135,0.495,41.28M,-0.0323
2020-12-15,0.4678,0.4985,0.5061,0.4678,53.96M,-0.0593
2020-12-16,0.5712,0.4677,0.5712,0.4515,132.73M,0.221
2020-12-17,0.5772,0.57,0.5971,0.5608,198.91M,0.0105
2020-12-18,0.5842,0.5779,0.5918,0.5586,105.14M,0.0121
2020-12-19,0.577,0.5837,0.5944,0.5698,54.22M,-0.0123
2020-12-20,0.5562,0.5768,0.5815,0.5562,55.66M,-0.036
2020-12-21,0.5145,0.5552,0.5631,0.5145,97.29M,-0.075
2020-12-22,0.4473,0.5148,0.5148,0.4155,203.99M,-0.1306
2020-12-23,0.2601,0.4461,0.4461,0.2601,713.16M,-0.4185
2020-12-24,0.3393,0.2578,0.3393,0.2575,624.99M,0.3045
2020-12-25,0.3182,0.3422,0.37,0.2944,590.54M,-0.0622
2020-12-26,0.2948,0.3177,0.3178,0.2948,267.09M,-0.0735
2020-12-27,0.2839,0.2949,0.2959,0.2839,255.22M,-0.037
2020-12-28,0.248,0.2837,0.3002,0.248,231.05M,-0.1265
2020-12-29,0.2213,0.2481,0.2481,0.1983,716.62M,-0.1077
2020-12-30,0.2114,0.2214,0.2214,0.2017,473.14M,-0.0447
2020-12-31,0.2194,0.2113,0.2199,0.2113,195.19M,0.0378
2021-01-01,0.2373,0.2192,0.2439,0.2192,193.78M,0.0816
